lat,lon,ele_m,time,x_east_m,y_north_m,r_radial_m
43.325092,-116.414421,890.9,2025-09-19 18:07:44+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:45+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:46+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:47+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:48+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:49+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:50+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:51+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:52+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:53+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:54+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:55+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:56+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:57+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:58+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:59+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:00+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:01+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:02+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:03+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:04+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:05+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:06+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:07+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:08+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:09+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:10+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:11+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:12+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:13+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:14+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:15+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:16+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:17+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:18+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:19+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:20+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:21+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:22+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:23+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:24+00:00,0.0,0.0,0.0
